Papel;Empresa;CNPJ;Setor de atuação;Subsetor de atuação;Segmento de atuação;Patrimônio líquido;Ativos;Ativo circulante;Dívida bruta;Disponibilidade;Dívida líquida;Valor de mercado;Valor de firma;Número total de papéis;Segmento de listagem;Free float;Cotação atual;Mínima 52 semanas;Máxima 52 semanas;Dividend Yield;Valorização
cegr3;CIA DISTRIB DE GAS DO RIO DE JANEIRO-CEG;33.938.119/0001-69;Utilidade Pública;Gás;Gás;1315724000;4111487000;1218935000;1233531000;370295000;863236000;22931204490;23794440490;259637732;;0.16;88.32;57.55;88.32;0.81;53.47
cepe3;CIA ENERGETICA DE PERNAMBUCO - CELPE;10.835.932/0001-08;Utilidade Pública;Energia Elétrica;Energia Elétrica;1420000000;13434000000;4005000000;7668000000;1258000000;6410000000;8638460289;15048460289;74612388;;--;125.26;-;-;3.43;-
cepe5;CIA ENERGETICA DE PERNAMBUCO - CELPE;10.835.932/0001-08;Utilidade Pública;Energia Elétrica;Energia Elétrica;1420000000;13434000000;4005000000;7668000000;1258000000;6410000000;8638460289;15048460289;74612388;;--;40.12;25.00;41.90;10.70;60.16
cepe6;CIA ENERGETICA DE PERNAMBUCO - CELPE;10.835.932/0001-08;Utilidade Pública;Energia Elétrica;Energia Elétrica;1420000000;13434000000;4005000000;7668000000;1258000000;6410000000;8638460289;15048460289;74612388;;--;43.00;25.01;43.00;10.98;50.77
cgas3;CIA GAS DE SAO PAULO - COMGAS;61.856.571/0001-17;Utilidade Pública;Gás;Gás;1663728000;12955841000;5391913000;6728191000;1481160000;5247031000;16551821316;21798852316;132520587;;0.86;125.07;99.45;152.70;11.20;-4.54
cgas5;CIA GAS DE SAO PAULO - COMGAS;61.856.571/0001-17;Utilidade Pública;Gás;Gás;1663728000;12955841000;5391913000;6728191000;1481160000;5247031000;16551821316;21798852316;132520587;;0.86;131.46;100.32;149.75;11.72;-3.95
cgra3;GRAZZIOTIN S.A.;92.012.467/0001-70;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados;809426000;1127893000;495922000;0;87971000;-87971000;563516503;475545503;19346871;;57.03;29.50;25.71;37.13;11.45;-16.76
cgra4;GRAZZIOTIN S.A.;92.012.467/0001-70;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados;809426000;1127893000;495922000;0;87971000;-87971000;563516503;475545503;19346871;;57.03;28.86;25.18;38.60;11.71;-21.10
ciel3;CIELO S.A.;01.027.058/0001-91;Financeiro e Outros;Serviços Financeiros Diversos;Serviços Financeiros Diversos;10854682000;103353871000;89804274000;6575357000;3272514000;3302843000;13692747907;16995590907;2716815061;Novo Mercado;40.32;4.96;1.92;5.86;5.02;156.99
clsa3;CLEAR SALE S.A.;03.802.115/0001-98;Tecnologia da Informação;Programas e Serviços;Programas e Serviços;740258000;921989000;685588000;71592000;519183000;-447591000;990370336;542779336;187926060;Novo Mercado;28.08;5.19;3.55;11.53;-;-45.02
clsc3;CENTRAIS ELET DE SANTA CATARINA S.A.;83.878.892/0001-55;Utilidade Pública;Energia Elétrica;Energia Elétrica;2899181000;11704306000;3568654000;2562986000;1272254000;1290732000;1964074498;3254806498;38571591;Nível 2;75.46;47.70;46.35;59.91;9.79;-17.26
clsc4;CENTRAIS ELET DE SANTA CATARINA S.A.;83.878.892/0001-55;Utilidade Pública;Energia Elétrica;Energia Elétrica;2899181000;11704306000;3568654000;2562986000;1272254000;1290732000;1964074498;3254806498;38571591;Nível 2;75.46;53.09;49.33;62.46;9.68;-13.21
cmig3;CIA ENERGETICA DE MINAS GERAIS - CEMIG;17.155.730/0001-64;Utilidade Pública;Energia Elétrica;Energia Elétrica;21073852000;54514041000;14706124000;11368952000;4769683000;6599269000;28459560478;35058829478;2201370688;Nível 1;81.90;16.40;11.87;19.48;9.33;31.41
cmig4;CIA ENERGETICA DE MINAS GERAIS - CEMIG;17.155.730/0001-64;Utilidade Pública;Energia Elétrica;Energia Elétrica;21073852000;54514041000;14706124000;11368952000;4769683000;6599269000;28459560478;35058829478;2201370688;Nível 1;81.90;11.33;8.59;12.65;13.48;27.73
cmin3;CSN MINERAÇÃO S.A.;08.902.291/0001-15;Materiais Básicos;Mineração;Minerais Metálicos;13168142000;26507955000;11651602000;8184503000;9720889000;-1536386000;24903438325;23367052325;5485338838;Nível 2;20.25;4.53;2.88;5.93;20.11;-23.61
coce3;CIA ENERGETICA DO CEARA - COELCE;07.047.251/0001-70;Utilidade Pública;Energia Elétrica;Energia Elétrica;3710517000;12456935000;3283555000;4464022000;300671000;4163351000;3322432443;7485783443;77855299;;25.95;57.24;57.24;57.24;3.40;0.00
coce5;CIA ENERGETICA DO CEARA - COELCE;07.047.251/0001-70;Utilidade Pública;Energia Elétrica;Energia Elétrica;3710517000;12456935000;3283555000;4464022000;300671000;4163351000;3322432443;7485783443;77855299;;25.95;45.46;37.00;56.01;4.28;-14.48
coce6;CIA ENERGETICA DO CEARA - COELCE;07.047.251/0001-70;Utilidade Pública;Energia Elétrica;Energia Elétrica;3710517000;12456935000;3283555000;4464022000;300671000;4163351000;3322432443;7485783443;77855299;;25.95;19.17;-;-;10.14;-
cogn3;KROTON EDUCACIONAL S.A.;02.800.026/0001-40;Consumo Cíclico;Diversos;Serviços Educacionais;12389875000;26324302000;4821777000;8176646000;2185721000;5990925000;4147299724;10138224724;1876606210;Novo Mercado;97.01;2.15;1.95;3.31;-;4.88
corr3;CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA;15.101.405/0001-93;Financeiro e Outros;Exploração de Imóveis;Exploração de Imóveis;-739000;20164000;14435000;0;14044000;-14044000;1278895;-12765105;23153;;72.66;2.71;-;-;-;-
corr4;CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA;15.101.405/0001-93;Financeiro e Outros;Exploração de Imóveis;Exploração de Imóveis;-739000;20164000;14435000;0;14044000;-14044000;1278895;-12765105;23153;;72.66;82.00;-;-;-;-
cpfe3;CPFL ENERGIA S.A.;02.429.144/0001-93;Utilidade Pública;Energia Elétrica;Energia Elétrica;15423708000;65993768000;14102909000;23522145000;4312128000;19210017000;36572555926;55782572926;1152254440;Novo Mercado;16.29;32.00;25.85;36.66;10.12;21.90
cple11;CIA PARANAENSE DE ENERGIA - COPEL;76.483.817/0001-20;Utilidade Pública;Energia Elétrica;Energia Elétrica;20969719000;49854146000;10663410000;13336824000;4329475000;9007349000;19889272655;28896621655;2736553750;Nível 2;68.93;36.49;27.40;41.15;11.88;33.18
cple3;CIA PARANAENSE DE ENERGIA - COPEL;76.483.817/0001-20;Utilidade Pública;Energia Elétrica;Energia Elétrica;20969719000;49854146000;10663410000;13336824000;4329475000;9007349000;19889272655;28896621655;2736553750;Nível 2;68.93;6.63;5.11;7.68;12.07;29.75
cple5;CIA PARANAENSE DE ENERGIA - COPEL;76.483.817/0001-20;Utilidade Pública;Energia Elétrica;Energia Elétrica;20969719000;49854146000;10663410000;13336824000;4329475000;9007349000;19889272655;28896621655;2736553750;Nível 2;68.93;20.40;19.78;36.60;4.34;-33.00
cple6;CIA PARANAENSE DE ENERGIA - COPEL;76.483.817/0001-20;Utilidade Pública;Energia Elétrica;Energia Elétrica;20969719000;49854146000;10663410000;13336824000;4329475000;9007349000;19889272655;28896621655;2736553750;Nível 2;68.93;7.44;5.55;8.42;11.89;34.05
crde3;CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.;07.820.907/0001-46;Consumo Cíclico;Construção Civil;Incorporações;96882000;113588000;16641000;645000;12792000;-12147000;36840947;24693947;2422153;;98.29;15.21;15.01;22.40;-;-9.84
crfb3;ATACADÃO S.A.;75.315.333/0001-09;Consumo não Cíclico;Comércio e Distribuição;Alimentos;19994000000;81845000000;34983000000;20731000000;2580000000;18151000000;30923585469;49074585469;2103645270;Novo Mercado;25.13;14.58;13.96;23.14;2.35;2.46
criv3;FINANCEIRA ALFA S.A.- CRED FINANC E INVS;17.167.412/0001-13;Financeiro e Outros;Intermediários Financeiros;Soc. Crédito e Financiamento;1054151000;8306676000;1864524000;-;1864524000;-;535301291;535301291;102942556;;24.25;5.20;2.92;5.36;0.48;4.00
criv4;FINANCEIRA ALFA S.A.- CRED FINANC E INVS;17.167.412/0001-13;Financeiro e Outros;Intermediários Financeiros;Soc. Crédito e Financiamento;1054151000;8306676000;1864524000;-;1864524000;-;535301291;535301291;102942556;;24.25;5.20;4.34;5.99;8.87;-4.41
crpg3;TRONOX PIGMENTOS DO BRASIL S.A.;15.115.504/0001-24;Materiais Básicos;Químicos;Químicos Diversos;911266000;1173439000;682188000;11407000;166862000;-155455000;1084338063;928883063;29018747;;100.00;50.84;37.71;69.41;9.35;-26.75
crpg5;TRONOX PIGMENTOS DO BRASIL S.A.;15.115.504/0001-24;Materiais Básicos;Químicos;Químicos Diversos;911266000;1173439000;682188000;11407000;166862000;-155455000;1084338063;928883063;29018747;;100.00;29.59;21.92;56.43;16.08;-45.73
crpg6;TRONOX PIGMENTOS DO BRASIL S.A.;15.115.504/0001-24;Materiais Básicos;Químicos;Químicos Diversos;911266000;1173439000;682188000;11407000;166862000;-155455000;1084338063;928883063;29018747;;100.00;29.99;21.42;55.66;15.86;-45.23
csab3;CIA SEGUROS ALIANCA DA BAHIA;15.144.017/0001-90;Financeiro e Outros;Previdência e Seguros;Seguradoras;182555000;383045000;79650000;-;64498000;-;258624000;258624000;7680000;;52.69;30.55;30.55;55.00;3.33;-44.45
csab4;CIA SEGUROS ALIANCA DA BAHIA;15.144.017/0001-90;Financeiro e Outros;Previdência e Seguros;Seguradoras;182555000;383045000;79650000;-;64498000;-;258624000;258624000;7680000;;52.69;36.80;36.80;50.00;3.04;-14.54
csan3;COSAN S.A.;50.746.577/0001-15;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição;15647431000;96006859000;24194616000;43349331000;12083132000;31266199000;31952909391;63219108391;1874070932;Novo Mercado;62.49;17.29;15.40;24.58;2.48;-18.56
csed3;CRUZEIRO DO SUL EDUCACIONAL S.A.;62.984.091/0001-02;Consumo Cíclico;Diversos;Serviços Educacionais;1439340000;4761512000;1194323000;1074310000;928205000;146105000;1420378733;1566483733;381822240;Novo Mercado;20.36;3.68;2.90;6.45;3.53;-42.05
csmg3;CIA SANEAMENTO DE MINAS GERAIS-COPASA MG;17.281.106/0001-03;Utilidade Pública;Água e Saneamento;Água e Saneamento;7191002000;12471821000;1872628000;3435531000;405954000;3029577000;5916737754;8946314754;380253069;Novo Mercado;49.56;15.35;11.06;16.05;2.50;32.79
csna3;CIA SIDERURGICA NACIONAL;33.042.730/0001-04;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;21112515000;82638399000;31118220000;37179311000;15796988000;21382323000;22702728373;44085051373;1326093947;;44.47;17.05;10.75;25.05;13.96;-24.92
csrn3;CIA ENERGETICA DO RIO GDE NORTE - COSERN;08.324.196/0001-81;Utilidade Pública;Energia Elétrica;Energia Elétrica;1398000000;5452000000;1491000000;2171000000;341000000;1830000000;3897656808;5727656808;168074028;;6.95;22.75;12.98;23.44;17.65;61.46
csrn5;CIA ENERGETICA DO RIO GDE NORTE - COSERN;08.324.196/0001-81;Utilidade Pública;Energia Elétrica;Energia Elétrica;1398000000;5452000000;1491000000;2171000000;341000000;1830000000;3897656808;5727656808;168074028;;6.95;24.68;15.38;24.68;17.89;51.50
csrn6;CIA ENERGETICA DO RIO GDE NORTE - COSERN;08.324.196/0001-81;Utilidade Pública;Energia Elétrica;Energia Elétrica;1398000000;5452000000;1491000000;2171000000;341000000;1830000000;3897656808;5727656808;168074028;;6.95;21.99;14.66;25.00;20.08;50.00
csud3;CSU DIGITAL S.A.;01.896.779/0001-38;Bens Industriais;Serviços;Serviços Diversos;362819000;590084000;178285000;87677000;86589000;1088000;486134000;487222000;41800000;Novo Mercado;44.26;11.55;10.85;15.80;8.03;-2.78
ctka3;KARSTEN S.A.;82.640.558/0001-04;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;-162168000;599743000;409369000;569595000;15658000;553937000;92045986;645982986;6205375;;12.86;21.46;18.50;27.50;-;-21.96
ctka4;KARSTEN S.A.;82.640.558/0001-04;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;-162168000;599743000;409369000;569595000;15658000;553937000;92045986;645982986;6205375;;12.86;9.10;8.41;13.68;-;-21.82
ctnm3;CIA TECIDOS NORTE DE MINAS COTEMINAS;22.677.520/0001-76;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;614624000;4023777000;1689551000;1502846000;352427000;1150419000;91959740;1242378740;30636457;;47.07;4.41;4.41;10.30;-;-46.67
ctnm4;CIA TECIDOS NORTE DE MINAS COTEMINAS;22.677.520/0001-76;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;614624000;4023777000;1689551000;1502846000;352427000;1150419000;91959740;1242378740;30636457;;47.07;1.81;1.73;4.27;-;-51.73
ctsa3;CIA TECIDOS SANTANENSE;21.255.567/0001-89;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;279573000;618750000;191447000;165112000;36923000;128189000;71509687;199698687;27824781;;148.20;2.57;2.45;11.12;-;-63.90
ctsa4;CIA TECIDOS SANTANENSE;21.255.567/0001-89;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;279573000;618750000;191447000;165112000;36923000;128189000;71509687;199698687;27824781;;148.20;1.65;1.59;5.40;-;-67.77
cury3;CURY CONSTRUTORA E INCORPORADORA S.A.;08.797.760/0001-83;Consumo Cíclico;Construção Civil;Incorporações;648428000;2917631000;2147877000;398972000;679977000;-281005000;3537526067;3256521067;291875088;Novo Mercado;41.21;11.97;5.87;13.20;4.26;85.87
cvcb3;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.;10.760.260/0001-19;Consumo Cíclico;Viagens e Lazer;Viagens e Turismo;416109000;4497630000;2534029000;924517000;636626000;287891000;1408416330;1696307330;277247309;Novo Mercado;99.54;4.96;3.66;17.28;-;-58.42
cxse3;CAIXA SEGURIDADE PARTICIPAÇÕES S.A.;22.543.331/0001-00;Financeiro e Outros;Previdência e Seguros;Corretoras de Seguros;11753184000;11910014000;1436081000;0;1272550000;-1272550000;24450000000;23177450000;3000000000;Novo Mercado;17.25;8.10;6.37;8.91;7.96;10.35
cyre3;CYRELA BRAZIL REALTY S.A.EMPREEND E PART;73.178.600/0001-18;Consumo Cíclico;Construção Civil;Incorporações;6484399000;14743262000;8080344000;4042172000;2397790000;1644382000;5568417190;7212799190;399742799;Novo Mercado;68.58;13.81;11.67;20.03;4.04;1.10
dasa3;DIAGNOSTICOS DA AMERICA S.A.;61.486.650/0001-83;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos;7471901000;25056483000;6865261000;9917680000;2561337000;7356343000;7416450433;14772793433;560578264;Novo Mercado;12.82;13.08;12.48;30.98;0.73;-57.78
desk3;DESKTOP - SIGMANET COMUNICAÇÃO MULTIMÍDIA S.A.;08.170.849/0001-15;Comunicações;Telecomunicações;Telecomunicações;920907000;2417792000;432763000;878731000;302186000;576545000;728683107;1305228107;87267438;Novo Mercado;34.97;8.45;6.28;19.68;0.17;-44.66
dexp3;DEXXOS PARTICIPACOES S.A.;02.193.750/0001-52;Materiais Básicos;Químicos;Petroquímicos;526608000;1326337000;861600000;335025000;119396000;215629000;667752485;883381485;94013535;Nível 1;99.61;7.11;5.95;9.89;5.37;-24.92
dexp4;DEXXOS PARTICIPACOES S.A.;02.193.750/0001-52;Materiais Básicos;Químicos;Petroquímicos;526608000;1326337000;861600000;335025000;119396000;215629000;667752485;883381485;94013535;Nível 1;99.61;6.38;5.70;9.00;6.36;-12.84
dirr3;DIRECIONAL ENGENHARIA S.A.;16.614.075/0001-00;Consumo Cíclico;Construção Civil;Incorporações;1358123000;6209516000;3285441000;1508157000;1179820000;328337000;2271000000;2599337000;150000000;Novo Mercado;54.80;14.80;8.77;17.06;7.81;47.12
dmmo3;DOMMO ENERGIA S.A.;08.926.302/0001-05;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição;-503962000;343940000;201458000;82000;77487000;-77405000;949254731;871849731;539349279;;41.10;1.76;0.45;1.94;-;274.47
dmvf3;D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;12.108.897/0001-50;Saúde;Comércio e Distribuição;Medicamentos e Outros Produtos;846554000;1446256000;398164000;29629000;53619000;-23990000;207471652;183481652;50602842;Novo Mercado;37.62;4.07;3.60;5.70;-;1.75
dohl3;DOHLER S.A.;84.683.408/0001-03;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;708496000;950941000;500921000;89394000;62929000;26465000;635317750;661782750;75645285;;12.77;10.00;10.00;18.88;1.20;-47.03
dohl4;DOHLER S.A.;84.683.408/0001-03;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;708496000;950941000;500921000;89394000;62929000;26465000;635317750;661782750;75645285;;12.77;4.28;4.23;6.08;3.08;-26.08
dotz3;Dotz S.A.;10.221.279/0001-97;Tecnologia da Informação;Programas e Serviços;Programas e Serviços;-135130000;421808000;279257000;109667000;232105000;-122438000;173009541;50571541;132068352;Novo Mercado;30.39;1.28;1.19;4.24;-;-58.31
dtcy3;DTCOM - DIRECT TO COMPANY S.A.;03.303.999/0001-36;Bens Industriais;Serviços;Serviços Diversos;-2286000;12344000;4489000;1491000;2139000;-648000;79156874;78508874;11131131;;2.03;4.77;4.76;8.00;-;-36.82
dxco3;DURATEX S.A.;97.837.181/0001-47;Materiais Básicos;Madeira e Papel;Madeira;5906806000;15507462000;5586608000;5606027000;1928231000;3677796000;5901267684;9579063684;837059246;Novo Mercado;32.84;6.97;6.45;14.64;4.83;-46.75
ealt3;ELECTRO ACO ALTONA S.A.;82.643.537/0001-34;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;204685000;523098000;200341000;128135000;9549000;118586000;170167500;288753500;22500000;;100.00;9.50;7.02;11.18;13.55;-8.30
ealt4;ELECTRO ACO ALTONA S.A.;82.643.537/0001-34;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;204685000;523098000;200341000;128135000;9549000;118586000;170167500;288753500;22500000;;100.00;6.85;6.12;9.25;18.34;-1.86
ecor3;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;04.149.454/0001-80;Bens Industriais;Transporte;Exploração de Rodovias;2253486000;18058144000;3014936000;12036198000;2521874000;9514324000;3293660880;12807984880;696334224;Novo Mercado;44.53;4.70;3.99;7.90;0.16;-35.08
eeel3;CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT;92.715.812/0001-31;Utilidade Pública;Energia Elétrica;Energia Elétrica;1301403000;4289462000;1115536000;1026738000;309831000;716907000;2864486064;3581393064;9658447;;0.74;294.77;-;-;42.83;-
eeel4;CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT;92.715.812/0001-31;Utilidade Pública;Energia Elétrica;Energia Elétrica;1301403000;4289462000;1115536000;1026738000;309831000;716907000;2864486064;3581393064;9658447;;0.74;410.00;300.23;422.13;33.87;36.56
egie3;ENGIE BRASIL ENERGIA S.A.;02.474.103/0001-19;Utilidade Pública;Energia Elétrica;Energia Elétrica;8044927000;39685534000;9389673000;18667494000;3764944000;14902550000;30882864959;45785414959;815927740;Novo Mercado;31.28;37.64;35.32;43.55;7.92;6.57
ektr3;ELEKTRO REDES S.A.;02.328.280/0001-97;Utilidade Pública;Energia Elétrica;Energia Elétrica;3041000000;10348000000;3415000000;5110000000;978000000;4132000000;6683199589;10815199589;193759265;;0.32;32.00;25.38;36.76;22.09;17.56
ektr4;ELEKTRO REDES S.A.;02.328.280/0001-97;Utilidade Pública;Energia Elétrica;Energia Elétrica;3041000000;10348000000;3415000000;5110000000;978000000;4132000000;6683199589;10815199589;193759265;;0.32;36.74;19.42;37.17;21.17;89.19
elet3;CENTRAIS ELET BRAS S.A. - ELETROBRAS;00.001.180/0001-26;Utilidade Pública;Energia Elétrica;Energia Elétrica;111495023000;266506129000;43516712000;55270110000;19398307000;35871803000;94481530045;130353333045;2301227778;Nível 1;99.81;40.86;30.83;51.57;1.88;32.53
elet5;CENTRAIS ELET BRAS S.A. - ELETROBRAS;00.001.180/0001-26;Utilidade Pública;Energia Elétrica;Energia Elétrica;111495023000;266506129000;43516712000;55270110000;19398307000;35871803000;94481530045;130353333045;2301227778;Nível 1;99.81;62.46;-;-;3.45;-
elet6;CENTRAIS ELET BRAS S.A. - ELETROBRAS;00.001.180/0001-26;Utilidade Pública;Energia Elétrica;Energia Elétrica;111495023000;266506129000;43516712000;55270110000;19398307000;35871803000;94481530045;130353333045;2301227778;Nível 1;99.81;42.36;29.89;54.94;3.79;41.62
elmd3;ELETROMIDIA S.A.;09.347.516/0001-81;Comunicações;Mídia;Publicidade;735970000;1948952000;301243000;668434000;117858000;550576000;1581816409;2132392409;139983753;Novo Mercado;37.63;11.59;9.40;17.30;-;6.82
emae3;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;02.302.101/0001-42;Utilidade Pública;Energia Elétrica;Energia Elétrica;927120000;1889154000;619680000;0;390016000;-390016000;1862975968;1472959968;36947084;;60.06;25.35;-;-;3.16;-
emae4;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;02.302.101/0001-42;Utilidade Pública;Energia Elétrica;Energia Elétrica;927120000;1889154000;619680000;0;390016000;-390016000;1862975968;1472959968;36947084;;60.06;67.14;28.55;68.41;1.31;20.76
embr3;EMBRAER S.A.;07.689.002/0001-89;Bens Industriais;Material de Transporte;Material Aeronáutico e de Defesa;13311722000;53700413000;30177540000;16936503000;9124632000;7811871000;11173617514;18985488514;740465044;Novo Mercado;99.21;15.02;10.87;23.11;-;-35.01
enat3;ENAUTA PARTICIPAÇÕES S.A.;11.669.021/0001-10;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição;3982406000;6095315000;1808246000;535738000;1553099000;-1017361000;3734587015;2717226015;265806905;Novo Mercado;29.09;14.08;11.77;23.85;12.15;12.55
enbr3;EDP - ENERGIAS DO BRASIL S.A.;03.983.431/0001-03;Utilidade Pública;Energia Elétrica;Energia Elétrica;11781028000;37237478000;10315100000;14770962000;4146440000;10624522000;11443144127;22067666127;581165268;Novo Mercado;42.33;19.63;18.02;22.65;12.92;6.98
enev3;ENEVA S.A;04.423.567/0001-21;Utilidade Pública;Energia Elétrica;Energia Elétrica;13871682000;32276038000;11696465000;14599798000;8932869000;5666929000;19647133178;25314062178;1584446224;Novo Mercado;99.52;12.50;11.03;16.09;-;-0.08
engi11;ENERGISA S.A.;00.864.214/0001-06;Utilidade Pública;Energia Elétrica;Energia Elétrica;11665088000;59675773000;15465161000;27621334000;5781812000;21839522000;16920340109;38759862109;2039086540;Nível 2;60.97;41.11;37.84;49.08;2.81;3.08
engi3;ENERGISA S.A.;00.864.214/0001-06;Utilidade Pública;Energia Elétrica;Energia Elétrica;11665088000;59675773000;15465161000;27621334000;5781812000;21839522000;16920340109;38759862109;2039086540;Nível 2;60.97;12.83;11.90;16.79;1.77;-0.70
engi4;ENERGISA S.A.;00.864.214/0001-06;Utilidade Pública;Energia Elétrica;Energia Elétrica;11665088000;59675773000;15465161000;27621334000;5781812000;21839522000;16920340109;38759862109;2039086540;Nível 2;60.97;7.07;6.35;8.58;3.28;4.43
enju3;ENJOEI.COM.BR ATIVIDADES DE INTERNET S.A.;16.922.038/0001-51;Tecnologia da Informação;Programas e Serviços;Programas e Serviços;389912000;445078000;381320000;0;342372000;-342372000;230279662;-112092338;200243184;Novo Mercado;75.71;1.13;0.89;3.14;-;-60.49
enmt3;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;03.467.321/0001-99;Utilidade Pública;Energia Elétrica;Energia Elétrica;3417752000;11913481000;3052643000;4748901000;851644000;3897257000;17513165701;21410422701;218941939;;2.49;79.99;74.49;82.55;4.43;3.09
enmt4;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;03.467.321/0001-99;Utilidade Pública;Energia Elétrica;Energia Elétrica;3417752000;11913481000;3052643000;4748901000;851644000;3897257000;17513165701;21410422701;218941939;;2.49;79.99;75.55;82.35;4.43;2.11
epar3;EMBPAR PARTICIPACOES S.A.;42.331.462/0001-31;Financeiro e Outros;Holdings Diversificadas;Holdings Diversificadas;78206000;247922000;185601000;69619000;41405000;28214000;145336355;173550355;14860568;;10.43;9.78;9.45;19.49;20.64;-25.23
eqpa3;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;04.895.728/0001-80;Utilidade Pública;Energia Elétrica;Energia Elétrica;4349989000;12708405000;4691950000;4234355000;1934193000;2300162000;15038091899;17338253899;2209074007;;3.50;6.80;4.34;6.92;7.15;46.24
eqpa5;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;04.895.728/0001-80;Utilidade Pública;Energia Elétrica;Energia Elétrica;4349989000;12708405000;4691950000;4234355000;1934193000;2300162000;15038091899;17338253899;2209074007;;3.50;8.64;5.63;8.64;5.62;23.96
eqpa6;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;04.895.728/0001-80;Utilidade Pública;Energia Elétrica;Energia Elétrica;4349989000;12708405000;4691950000;4234355000;1934193000;2300162000;15038091899;17338253899;2209074007;;3.50;10.48;-;-;4.64;-
eqpa7;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;04.895.728/0001-80;Utilidade Pública;Energia Elétrica;Energia Elétrica;4349989000;12708405000;4691950000;4234355000;1934193000;2300162000;15038091899;17338253899;2209074007;;3.50;8.00;5.77;8.10;6.07;26.78
eqtl3;EQUATORIAL ENERGIA S.A.;03.220.438/0001-73;Utilidade Pública;Energia Elétrica;Energia Elétrica;16283130000;70907242000;18243740000;31132065000;7802315000;23329750000;29555507435;52885257435;1128934585;Novo Mercado;97.48;26.16;21.76;30.06;2.41;14.99
espa3;MPM CORPÓREOS S.A.;26.659.061/0001-59;Consumo não Cíclico;Produtos de Uso Pessoal e de Limpeza;Produtos de Uso Pessoal;701805000;2173626000;772628000;945451000;157983000;787468000;621647674;1409115674;361423066;Novo Mercado;66.11;1.62;1.15;6.52;-;-75.15
estr3;MANUFATURA DE BRINQUEDOS ESTRELA S.A.;61.082.004/0001-50;Consumo Cíclico;Viagens e Lazer;Brinquedos e Jogos;-489405000;305652000;181637000;100531000;529000;100002000;26346821;126348821;808350;;68.42;17.80;-;-;-;-
estr4;MANUFATURA DE BRINQUEDOS ESTRELA S.A.;61.082.004/0001-50;Consumo Cíclico;Viagens e Lazer;Brinquedos e Jogos;-489405000;305652000;181637000;100531000;529000;100002000;26346821;126348821;808350;;68.42;39.99;39.90;59.00;-;-32.22
eter3;ETERNIT S.A.;61.092.037/0001-81;Bens Industriais;Construção e Engenharia;Produtos para Construção;659782000;1187017000;709395000;83864000;72460000;11404000;721550396;732954396;61776575;Novo Mercado;98.60;11.62;8.89;17.35;8.51;-27.38
euca3;EUCATEX S.A. INDUSTRIA E COMERCIO;56.643.018/0001-66;Materiais Básicos;Madeira e Papel;Madeira;2062362000;3685581000;1379034000;622198000;129405000;492793000;790708366;1283501366;92619256;Nível 1;74.79;11.28;9.66;16.14;6.37;-7.08
euca4;EUCATEX S.A. INDUSTRIA E COMERCIO;56.643.018/0001-66;Materiais Básicos;Madeira e Papel;Madeira;2062362000;3685581000;1379034000;622198000;129405000;492793000;790708366;1283501366;92619256;Nível 1;74.79;7.38;6.07;10.34;10.75;-5.02
