Papel;Empresa;CNPJ;Setor de atuação;Subsetor de atuação;Segmento de atuação;Patrimônio líquido;Ativos;Ativo circulante;Dívida bruta;Disponibilidade;Dívida líquida;Valor de mercado;Valor de firma;Número total de papéis;Segmento de listagem;Free float;Cotação atual;Mínima 52 semanas;Máxima 52 semanas;Dividend Yield;Valorização
bdll3;BARDELLA S.A. INDUSTRIAS MECANICAS;60.851.615/0001-53;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;-197559000;690917000;296517000;219285000;48318000;170967000;16221576;187188576;1600000;;76.88;12.00;9.90;13.19;-;2.65
bdll4;BARDELLA S.A. INDUSTRIAS MECANICAS;60.851.615/0001-53;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;-197559000;690917000;296517000;219285000;48318000;170967000;16221576;187188576;1600000;;76.88;9.00;7.55;10.64;-;-15.09
beef3;MINERVA S.A.;67.620.377/0001-14;Consumo não Cíclico;Alimentos Processados;Carnes e Derivados;621997000;21332804000;14474464000;14444149000;7966149000;6478000000;8167961824;14645961824;607283407;Novo Mercado;42.87;13.94;8.44;16.06;4.00;48.30
bees3;BANESTES S.A. - BCO EST ESPIRITO SANTO;28.127.603/0001-78;Financeiro e Outros;Intermediários Financeiros;Bancos;1951430000;39014276000;6280110000;-;6280110000;-;1867879236;1867879236;315912860;;4.61;5.68;4.44;5.96;10.33;27.64
bees4;BANESTES S.A. - BCO EST ESPIRITO SANTO;28.127.603/0001-78;Financeiro e Outros;Intermediários Financeiros;Bancos;1951430000;39014276000;6280110000;-;6280110000;-;1867879236;1867879236;315912860;;4.61;6.50;4.67;6.60;8.89;21.50
bgip3;BCO ESTADO DE SERGIPE S.A. - BANESE;13.009.717/0001-46;Financeiro e Outros;Intermediários Financeiros;Bancos;582335000;8055549000;4389913000;-;1821272000;-;333138537;333138537;15285090;;--;26.40;26.40;34.78;3.78;-24.09
bgip4;BCO ESTADO DE SERGIPE S.A. - BANESE;13.009.717/0001-46;Financeiro e Outros;Intermediários Financeiros;Bancos;582335000;8055549000;4389913000;-;1821272000;-;333138537;333138537;15285090;;--;17.19;16.95;25.96;6.38;-23.40
bidi11;BANCO INTER S.A.;00.416.968/0001-01;Financeiro e Outros;Intermediários Financeiros;Bancos;8357164000;38625095000;1171640000;-;0;-;8991139765;8991139765;2593598009;;67.54;10.40;9.65;28.20;0.43;-57.48
bidi3;BANCO INTER S.A.;00.416.968/0001-01;Financeiro e Outros;Intermediários Financeiros;Bancos;8357164000;38625095000;1171640000;-;0;-;8991139765;8991139765;2593598009;;67.54;3.40;3.20;9.42;0.43;-58.69
bidi4;BANCO INTER S.A.;00.416.968/0001-01;Financeiro e Outros;Intermediários Financeiros;Bancos;8357164000;38625095000;1171640000;-;0;-;8991139765;8991139765;2593598009;;67.54;3.41;3.22;9.35;0.43;-58.31
